om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,fc
192,1950,10,1,10/1/1950,21:00:00,3,OK,40,23,1,0,0,4,0,36.73,-102.52,36.88,-102.3,15.8,10,1,1,1,25,0,0,0,0
193,1950,10,9,10/9/1950,2:15:00,3,NC,37,9,3,3,0,5,0,34.17,-78.6,0,0,2,880,1,1,1,47,0,0,0,0
195,1950,11,20,11/20/1950,2:20:00,3,KY,21,1,2,0,0,5,0,37.37,-87.2,0,0,0.1,10,1,1,1,177,0,0,0,0
196,1950,11,20,11/20/1950,4:00:00,3,KY,21,2,1,0,0,5,0,38.2,-84.5,0,0,0.1,10,1,1,1,209,0,0,0,0
197,1950,11,20,11/20/1950,7:30:00,3,MS,28,14,1,3,0,4,0,32.42,-89.13,0,0,2,37,1,1,1,101,0,0,0,0
194,1950,11,4,11/4/1950,17:00:00,3,PA,42,5,3,1,0,5,0,40.2,-76.12,40.4,-75.93,15.9,100,1,1,1,71,11,0,0,0
198,1950,12,2,12/2/1950,15:00:00,3,IL,17,7,2,3,1,4,0,38.97,-90.05,39.07,-89.72,18.8,50,1,1,1,119,117,0,0,0
199,1950,12,2,12/2/1950,16:00:00,3,IL,17,8,3,25,2,6,0,38.75,-89.67,38.9,-89.38,18,200,1,1,1,119,5,0,0,0
200,1950,12,2,12/2/1950,16:25:00,3,AR,5,12,3,0,0,1,0,36.12,-91.83,36.18,-91.72,7.8,10,1,1,1,65,0,0,0,0
201,1950,12,2,12/2/1950,17:30:00,3,IL,17,9,1,0,0,4,0,38.17,-89.78,38.22,-89.62,9.6,50,1,1,1,157,0,0,0,0
4,1950,1,13,1/13/1950,5:25:00,3,AR,5,1,3,1,1,3,0,34.4,-94.37,0,0,0.6,17,1,1,1,113,0,0,0,0
5,1950,1,25,1/25/1950,19:30:00,3,MO,29,2,2,5,0,5,0,37.6,-90.68,37.63,-90.65,2.3,300,1,1,1,93,0,0,0,0
6,1950,1,25,1/25/1950,21:00:00,3,IL,17,3,2,0,0,5,0,41.17,-87.33,0,0,0.1,100,1,1,1,91,0,0,0,0
7,1950,1,26,1/26/1950,18:00:00,3,TX,48,1,2,2,0,0,0,26.88,-98.12,26.88,-98.05,4.7,133,1,1,1,47,0,0,0,0
1,1950,1,3,1/3/1950,11:00:00,3,MO,29,1,3,3,0,6,0,38.77,-90.22,38.83,-90.03,9.5,150,2,0,1,0,0,0,0,0
1,1950,1,3,1/3/1950,11:00:00,3,MO,29,1,3,3,0,6,0,38.77,-90.22,38.82,-90.12,6.2,150,2,1,2,189,0,0,0,0
1,1950,1,3,1/3/1950,11:10:00,3,IL,17,1,3,0,0,5,0,38.82,-90.12,38.83,-90.03,3.3,100,2,1,2,119,0,0,0,0
2,1950,1,3,1/3/1950,11:55:00,3,IL,17,2,3,3,0,5,0,39.1,-89.3,39.12,-89.23,3.6,130,1,1,1,135,0,0,0,0
3,1950,1,3,1/3/1950,16:00:00,3,OH,39,1,1,1,0,4,0,40.88,-84.58,0,0,0.1,10,1,1,1,161,0,0,0,0
8,1950,2,11,2/11/1950,13:10:00,3,TX,48,2,2,0,0,4,0,29.42,-95.25,29.52,-95.13,9.9,400,1,1,1,39,0,0,0,0
9,1950,2,11,2/11/1950,13:50:00,3,TX,48,3,3,12,1,4,0,29.67,-95.05,29.83,-95,12,1000,1,1,1,201,0,0,0,0
10,1950,2,11,2/11/1950,21:00:00,3,TX,48,4,2,5,0,5,0,32.35,-95.2,32.42,-95.2,4.6,100,1,1,1,423,0,0,0,0
11,1950,2,11,2/11/1950,23:55:00,3,TX,48,5,2,6,0,5,0,32.98,-94.63,33,-94.7,4.5,67,1,1,1,67,343,0,0,0
12,1950,2,12,2/12/1950,0:30:00,3,TX,48,6,2,8,1,4,0,33.33,-94.42,33.45,-94.42,8,833,1,1,1,37,0,0,0,0
